	wrapperType	collectionType	artistId	collectionId	amgArtistId	artistName	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate	primaryGenreName
0	collection	Album	518462	201274363	52456.0	Louis Armstrong	The Best of the Hot 5 & Hot 7 Recordings	The Best of the Hot 5 & Hot 7 Recordings	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-best-of-the-hot-5-hot-7-recordings/201274363?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/54/10/9d/mzi.tzqujtgu.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/54/10/9d/mzi.tzqujtgu.jpg/100x100bb.jpg	9.99	notExplicit	18	℗ Originally Released 1926, 1927, 1928, 1929, 1940, (P) 2002 Sony Music Entertainment Inc.	USA	USD	2002-07-30T07:00:00Z	Jazz
1	collection	Album	518462	1435198148	52456.0	Louis Armstrong	Let's Do It: Best of the Verve Years	Let's Do It: Best of the Verve Years	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/lets-do-it-best-of-the-verve-years/1435198148?uo=4	https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/33/a7/48/33a7484e-63bc-1d1b-2782-46f5fa89db83/00602567848721.rgb.jpg/60x60bb.jpg	https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/33/a7/48/33a7484e-63bc-1d1b-2782-46f5fa89db83/00602567848721.rgb.jpg/100x100bb.jpg	16.99	notExplicit	34	A Verve Label Group release; This Compilation ℗ 1995 UMG Recordings, Inc.	USA	USD	1995-09-26T07:00:00Z	Jazz
2	collection	Album	518462	200036163	52456.0	Louis Armstrong	Satch Blows the Blues	Satch Blows the Blues	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satch-blows-the-blues/200036163?uo=4	https://is5-ssl.mzstatic.com/image/thumb/Music/a5/25/ed/mzi.gqvxatac.jpg/60x60bb.jpg	https://is5-ssl.mzstatic.com/image/thumb/Music/a5/25/ed/mzi.gqvxatac.jpg/100x100bb.jpg	9.99	notExplicit	16	℗ Originally Released 1928, 1929, 1930, 1931, 1954 (P) 2002 Sony Music Entertainment Inc.	USA	USD	2002-07-26T07:00:00Z	Jazz
3	collection	Album	518462	1445098760	52456.0	Louis Armstrong	An American Songbook	An American Songbook	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/an-american-songbook/1445098760?uo=4	https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/7d/70/0d/7d700d43-38ef-c1e3-8312-56e69e5d65e6/00602577174940.rgb.jpg/60x60bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/7d/70/0d/7d700d43-38ef-c1e3-8312-56e69e5d65e6/00602577174940.rgb.jpg/100x100bb.jpg	9.99	notExplicit	12	A Verve Label Group Release; This Compilation ℗ 1991 UMG Recordings, Inc.	USA	USD	1991-10-22T07:00:00Z	Jazz
4	collection	Album	518462	190328280	52456.0	Louis Armstrong	Louis Armstrong's Greatest Hits	Louis Armstrong's Greatest Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrongs-greatest-hits/190328280?uo=4	https://is4-ssl.mzstatic.com/image/thumb/Features/4e/f3/be/dj.rtwpumxn.jpg/60x60bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Features/4e/f3/be/dj.rtwpumxn.jpg/100x100bb.jpg	9.99	notExplicit	11	℗ Originally released 1967 Sony Music Entertainment Inc. WARNING: All rights reserved. Unauthorized duplication is a violation of applicable laws.	USA	USD	1997-12-09T08:00:00Z	Jazz
5	collection	Album	518462	293785416	52456.0	Louis Armstrong	The Complete Hot Five and Hot Seven Recordings, Vol. 2	The Complete Hot Five and Hot Seven Recordings, Vol. 2	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-2/293785416?uo=4	https://is5-ssl.mzstatic.com/image/thumb/Music/7d/dc/fd/mzi.ksloftob.jpg/60x60bb.jpg	https://is5-ssl.mzstatic.com/image/thumb/Music/7d/dc/fd/mzi.ksloftob.jpg/100x100bb.jpg	9.99	notExplicit	22	℗ Originally Released 1926, 1927, 1928, 1940, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-11T07:00:00Z	Jazz
6	collection	Album	518462	1443198374	52456.0	Louis Armstrong	Satchmo at Symphony Hall (Live)	Satchmo at Symphony Hall (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-at-symphony-hall-live/1443198374?uo=4	https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/9b/51/97/9b519762-f6bc-39a3-5936-7aa49f5bf015/00011105066129.rgb.jpg/60x60bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/9b/51/97/9b519762-f6bc-39a3-5936-7aa49f5bf015/00011105066129.rgb.jpg/100x100bb.jpg	6.99	notExplicit	15	℗ 1996 UMG Recordings, Inc.	USA	USD	1996-01-01T08:00:00Z	Jazz
7	collection	Album	518462	158662145	52456.0	Louis Armstrong	The Essence of Louis Armstrong	The Essence of Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-essence-of-louis-armstrong/158662145?uo=4	https://is2-ssl.mzstatic.com/image/thumb/Music/bb/cf/af/mzi.gakaqpoc.jpg/60x60bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music/bb/cf/af/mzi.gakaqpoc.jpg/100x100bb.jpg	9.99	notExplicit	12	℗ 1991 Sony Music Entertainment Inc.	USA	USD	1991-10-11T07:00:00Z	Jazz
8	collection	Album	518462	293785410	52456.0	Louis Armstrong	The Complete Hot Five and Hot Seven Recordings, Vol. 3	The Complete Hot Five and Hot Seven Recordings, Vol. 3	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-3/293785410?uo=4	https://is2-ssl.mzstatic.com/image/thumb/Music/f5/98/ee/mzi.msdeqxjz.jpg/60x60bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music/f5/98/ee/mzi.msdeqxjz.jpg/100x100bb.jpg	9.99	notExplicit	22	℗ Originally Released 1928, 1929, 1940, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-11T07:00:00Z	Jazz
9	collection	Album	405220	194021777	6746.0	Louis Armstrong & Earl Hines	Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines	Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines	https://music.apple.com/us/artist/earl-fatha-hines/405220?uo=4	https://music.apple.com/us/album/louis-armstrong-vol-4-louis-armstrong-and-earl-hines/194021777?uo=4	https://is2-ssl.mzstatic.com/image/thumb/Music/59/d9/83/mzi.kblbbpah.jpg/60x60bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music/59/d9/83/mzi.kblbbpah.jpg/100x100bb.jpg	9.99	notExplicit	18	℗ Originally Released 1928, 1929, 1941 SONY BMG MUSIC ENTERTAINMENT	USA	USD	1989-08-18T07:00:00Z	Jazz
